timestep,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates
358400,24.3326,960.0,3.019596,7.0546,-0.002108,-4.784164,0.016231,0.11499,0.2,0.0003,0.941538,1740.0
360448,20.556,960.0,5.183871,8.129263,-0.000532,-4.816689,0.007333,0.118701,0.2,0.0003,0.942771,1750.0
362496,23.5654,960.0,3.057232,6.929126,0.001661,-4.724131,0.012134,0.102002,0.2,0.0003,0.892647,1760.0
364544,23.6472,960.0,2.741321,7.62173,0.000655,-4.85213,0.011352,0.124268,0.2,0.0003,0.943237,1770.0
366592,23.1037,960.0,2.927607,7.423622,0.006058,-4.926882,0.038838,0.180029,0.2,0.0003,0.965094,1780.0
368640,24.2816,960.0,1.750747,5.24467,-0.002021,-4.84854,0.012294,0.140186,0.2,0.0003,0.962095,1790.0
370688,24.8253,960.0,3.427702,9.092457,-0.004877,-4.747557,0.010374,0.134082,0.2,0.0003,0.922074,1800.0
372736,26.6043,960.0,5.103563,8.366513,-0.002384,-4.804786,0.01204,0.150635,0.2,0.0003,0.948384,1810.0
374784,26.0124,960.0,4.151678,8.93388,0.011185,-4.877276,0.576218,0.11123,0.2,0.0003,0.935655,1820.0
376832,26.4329,960.0,4.932371,9.052668,-0.003769,-4.73994,0.007743,0.074023,0.2,0.0003,0.93127,1830.0
378880,26.3713,960.0,3.880905,6.264986,0.001894,-4.851915,0.026261,0.204395,0.2,0.0003,0.964356,1840.0
380928,28.1262,960.0,2.013485,4.814924,-0.000719,-4.895153,0.011442,0.157715,0.2,0.0003,0.975242,1850.0
382976,26.2739,960.0,1.917947,6.176456,-0.006486,-4.886772,0.008963,0.081396,0.2,0.0003,0.949707,1860.0
385024,26.9574,960.0,2.109787,5.645145,-0.00285,-4.748358,0.009145,0.059619,0.2,0.0003,0.899742,1870.0
387072,25.9041,960.0,2.052616,7.032954,-0.000314,-4.900344,0.006238,0.077393,0.2,0.0003,0.946802,1880.0
389120,26.4391,960.0,2.605509,5.542111,-0.005413,-4.814346,0.007812,0.084961,0.2,0.0003,0.956579,1890.0
391168,25.0575,960.0,3.670681,6.659167,-0.003034,-4.764774,0.00972,0.086084,0.2,0.0003,0.908319,1900.0
393216,25.4395,960.0,3.953652,7.545207,-0.001028,-4.77293,0.021644,0.078467,0.2,0.0003,0.925805,1910.0
395264,26.3724,960.0,2.691235,6.141691,-0.005655,-4.765491,0.011854,0.102002,0.2,0.0003,0.946831,1920.0
397312,25.5861,960.0,2.316381,5.672187,-0.005884,-4.797996,0.009454,0.108057,0.2,0.0003,0.960377,1930.0
399360,26.8644,960.0,4.78887,7.302838,0.001673,-4.689722,0.012944,0.102686,0.2,0.0003,0.912122,1940.0
401408,26.4491,960.0,2.966231,8.25965,-0.003044,-4.768158,0.010528,0.123682,0.2,0.0003,0.911915,1950.0
